"run_dir","scenario","defense","notes","users","spawn_rate","run_time","host"
"20251229_165058_baseline_public_state","baseline_public_state","baseline","","50","5","2m","http://127.0.0.1:8000"
"20251229_165305_auth_login_storm","auth_login_storm","attacked","","40","10","2m","http://127.0.0.1:8000"
"20251229_165511_auth_login_storm_defended","auth_login_storm","defended","","40","10","2m","http://127.0.0.1:8000"
"20251229_165718_secure_valid_only","secure_valid_only","attacked","","20","2","2m","http://127.0.0.1:8000"
"20251229_165925_secure_valid_only_defended","secure_valid_only","defended","","20","2","2m","http://127.0.0.1:8000"
"20251229_170131_secure_mixed_80_20","secure_mixed_80_20","attacked","","80","8","3m","http://127.0.0.1:8000"
"20251229_170439_secure_mixed_80_20_defended","secure_mixed_80_20","defended","","80","8","3m","http://127.0.0.1:8000"
"20251229_170746_baseline_public_state","baseline_public_state","baseline","","50","5","2m","http://127.0.0.1:8000"
"20251229_170953_auth_login_storm","auth_login_storm","attacked","","40","10","2m","http://127.0.0.1:8000"
"20251229_171159_auth_login_storm_defended","auth_login_storm","defended","","40","10","2m","http://127.0.0.1:8000"
"20251229_171406_secure_valid_only","secure_valid_only","attacked","","20","2","2m","http://127.0.0.1:8000"
"20251229_171612_secure_valid_only_defended","secure_valid_only","defended","","20","2","2m","http://127.0.0.1:8000"
"20251229_171819_secure_mixed_80_20","secure_mixed_80_20","attacked","","80","8","3m","http://127.0.0.1:8000"
"20251229_172126_secure_mixed_80_20_defended","secure_mixed_80_20","defended","","80","8","3m","http://127.0.0.1:8000"
"20251229_172432_baseline_public_state","baseline_public_state","baseline","","50","5","2m","http://127.0.0.1:8000"
"20251229_172638_auth_login_storm","auth_login_storm","attacked","","40","10","2m","http://127.0.0.1:8000"
"20251229_172845_auth_login_storm_defended","auth_login_storm","defended","","40","10","2m","http://127.0.0.1:8000"
"20251229_173051_secure_valid_only","secure_valid_only","attacked","","20","2","2m","http://127.0.0.1:8000"
"20251229_173258_secure_valid_only_defended","secure_valid_only","defended","","20","2","2m","http://127.0.0.1:8000"
"20251229_173505_secure_mixed_80_20","secure_mixed_80_20","attacked","","80","8","3m","http://127.0.0.1:8000"
"20251229_173811_secure_mixed_80_20_defended","secure_mixed_80_20","defended","","80","8","3m","http://127.0.0.1:8000"
