"run_dir","scenario","defense","notes","users","spawn_rate","run_time","host"
"20251229_154433_baseline_public_state","baseline_public_state","baseline","","50","5","2m","http://localhost:8080"
"20251229_154515_baseline_public_state","baseline_public_state","baseline","","50","5","2m","http://localhost:8080"
"20251229_154631_baseline_public_state","baseline_public_state","baseline","","50","5","2m","http://localhost:8080"
"auth_login_storm","auth_login_storm","attacked","","","","",""
"auth_login_storm_defended","auth_login_storm_defended","defended","","","","",""
"baseline_public_state","baseline_public_state","baseline","","","","",""
"secure_mixed_80_20","secure_mixed_80_20","attacked","","","","",""
"secure_mixed_80_20_defended","secure_mixed_80_20_defended","defended","","","","",""
"secure_valid_only","secure_valid_only","attacked","","","","",""
"secure_valid_only_defended","secure_valid_only_defended","defended","","","","",""
