Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767109872,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767109873,15,POST,AUTH_TOKEN,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,24,22,3,31.153637499907443,1.2108000009902753,320.04890000098385,104.0
1767109873,15,GET,SECURE_PING,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,63,62,3,4.471206348835184,1.1072000015701633,22.30079999935697,153.52380952380952
1767109873,15,GET,SECURE_STATE,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,75,71,3,4.011585333258457,1.0653000026650261,23.339100000157487,146.10666666666665
1767109873,15,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,162,155,3,8.211371604745553,1.0653000026650261,320.04890000098385,142.7530864197531
1767109874,30,POST,AUTH_TOKEN,0.000000,0.000000,3,4,5,6,7,7,12,23,23,23,23,83,81,3,11.881255421688266,1.129599997511832,320.04890000098385,79.12048192771084
1767109874,30,GET,SECURE_PING,0.000000,0.000000,3,4,5,5,6,13,19,24,24,24,24,192,191,3,4.25919322901791,1.0848999991139863,23.772500000632135,148.125
1767109874,30,GET,SECURE_STATE,0.000000,0.000000,4,5,5,6,7,16,25,25,25,25,25,227,223,3,4.45708722466683,1.0653000026650261,25.301099998614518,148.88105726872246
1767109874,30,,Aggregated,0.000000,0.000000,3,4,5,5,7,10,23,25,25,25,25,502,495,3,5.6089005975516635,1.0653000026650261,320.04890000098385,137.0577689243028
1767109875,45,POST,AUTH_TOKEN,23.000000,21.000000,4,5,6,7,8,16,28,30,31,31,31,171,169,4,8.926314619909842,1.129599997511832,320.04890000098385,73.91228070175438
1767109875,45,GET,SECURE_PING,61.000000,60.000000,4,5,6,6,8,10,19,29,30,30,30,433,430,3,4.607068129311255,1.0292999977536965,30.112399999779882,147.08545034642032
1767109875,45,GET,SECURE_STATE,70.000000,67.000000,4,5,6,6,8,14,25,27,31,31,31,423,417,4,4.74717092190848,0.9407000034116209,30.960399999457877,149.34751773049646
1767109875,45,,Aggregated,154.000000,148.000000,4,5,6,6,8,12,25,28,31,31,31,1027,1016,3,5.383947030149604,0.9407000034116209,320.04890000098385,135.83349561830573
1767109876,60,POST,AUTH_TOKEN,40.500000,39.500000,4,5,6,7,8,15,28,30,31,31,31,281,279,4,7.5789530249193415,1.129599997511832,320.04890000098385,71.98932384341637
1767109876,60,GET,SECURE_PING,94.500000,94.000000,4,5,6,7,9,12,24,28,33,33,33,718,712,4,4.93398147628494,1.0230000007140916,33.12240000013844,149.88857938718664
1767109876,60,GET,SECURE_STATE,111.500000,109.500000,4,5,6,6,8,12,25,27,32,32,32,716,709,4,4.919795530669395,0.9407000034116209,31.851499999902444,147.47067039106145
1767109876,60,,Aggregated,246.500000,243.000000,4,5,6,7,8,12,25,28,32,33,33,1715,1700,4,5.361433294422279,0.9407000034116209,320.04890000098385,136.11545189504372
1767109877,75,POST,AUTH_TOKEN,55.333333,54.666667,5,6,7,8,16,28,35,54,72,72,72,420,418,4,8.83998499995782,1.0901000023295637,320.04890000098385,71.0
1767109877,75,GET,SECURE_PING,138.666667,137.666667,4,6,7,8,12,21,30,42,73,73,73,1042,1034,4,6.342573704390669,1.0230000007140916,72.58689999798662,149.8253358925144
1767109877,75,GET,SECURE_STATE,139.333333,137.333333,4,6,7,8,12,19,27,32,50,52,52,1072,1062,4,6.048829011138308,0.9407000034116209,52.4254000010842,147.0
1767109877,75,,Aggregated,333.333333,329.666667,4,6,7,8,12,21,31,38,66,73,73,2534,2514,4,6.632241594276886,0.9407000034116209,320.04890000098385,135.5651144435675
1767109878,75,POST,AUTH_TOKEN,67.500000,67.000000,5,6,8,9,16,26,34,50,72,72,72,536,534,5,8.582688619400814,1.0901000023295637,320.04890000098385,70.56716417910448
1767109878,75,GET,SECURE_PING,174.750000,173.250000,5,6,7,9,14,20,28,35,66,73,73,1391,1378,4,6.5643902947006145,1.0230000007140916,72.58689999798662,150.30337886412653
1767109878,75,GET,SECURE_STATE,173.500000,171.750000,5,6,7,8,13,18,27,30,50,52,52,1411,1401,5,6.292156342967602,0.9407000034116209,52.4254000010842,148.15875265768958
1767109878,75,,Aggregated,415.750000,412.000000,5,6,7,9,14,20,28,34,62,73,73,3338,3313,5,6.773403415175158,0.9407000034116209,320.04890000098385,136.59316956261233
1767109879,75,POST,AUTH_TOKEN,82.600000,82.200000,5,7,8,9,16,24,34,49,72,72,72,659,657,5,8.426798482558047,1.0901000023295637,320.04890000098385,70.27465857359635
1767109879,75,GET,SECURE_PING,203.600000,202.000000,5,6,8,9,14,21,29,40,66,73,73,1729,1714,5,6.8269319259409595,1.0230000007140916,72.58689999798662,150.4950838635049
1767109879,75,GET,SECURE_STATE,210.200000,208.200000,5,6,8,9,13,18,28,39,57,59,59,1754,1744,5,6.586390706909416,0.9191999997710809,59.37959999937448,148.8563283922463
1767109879,75,,Aggregated,496.400000,492.400000,5,6,8,9,14,20,30,42,62,73,73,4142,4115,5,6.979612457720132,0.9191999997710809,320.04890000098385,137.03790439401254
1767109880,75,POST,AUTH_TOKEN,87.833333,87.500000,5,7,8,10,16,24,34,49,72,72,72,789,787,5,8.424938910043059,1.0901000023295637,320.04890000098385,70.06463878326996
1767109880,75,GET,SECURE_PING,227.166667,225.166667,5,6,8,9,14,21,29,40,62,73,73,2076,2057,5,6.899003468171734,1.0230000007140916,72.58689999798662,150.364161849711
1767109880,75,GET,SECURE_STATE,230.500000,228.833333,5,6,8,9,14,19,28,39,52,59,59,2089,2078,5,6.780172570569213,0.9191999997710809,59.37959999937448,148.85639061752033
1767109880,75,,Aggregated,545.500000,541.500000,5,7,8,9,14,21,30,40,62,73,73,4954,4922,5,7.0919233952094425,0.9191999997710809,320.04890000098385,136.9394428744449
1767109881,75,POST,AUTH_TOKEN,92.857143,92.571429,5,7,9,10,16,24,33,41,72,72,72,929,927,5,8.444885575937064,1.0901000023295637,320.04890000098385,69.90419806243273
1767109881,75,GET,SECURE_PING,244.571429,242.428571,5,7,8,10,14,20,28,38,62,73,73,2417,2396,5,7.018003889083571,1.0230000007140916,72.58689999798662,149.7649979313198
1767109881,75,GET,SECURE_STATE,247.000000,245.571429,5,7,9,10,14,20,28,38,52,59,59,2429,2417,5,7.070199794119884,0.9191999997710809,59.37959999937448,148.904075751338
1767109881,75,,Aggregated,584.428571,580.571429,5,7,9,10,14,21,29,38,59,73,73,5775,5740,5,7.269494268377095,0.9191999997710809,320.04890000098385,136.55601731601732
1767109882,75,POST,AUTH_TOKEN,97.250000,97.000000,5,7,9,10,15,22,31,40,62,72,72,1064,1062,5,8.248964003812027,1.0901000023295637,320.04890000098385,69.78947368421052
1767109882,75,GET,SECURE_PING,256.500000,254.250000,5,7,8,10,14,19,27,35,62,73,73,2756,2734,5,6.955237481838561,0.9834000011323951,72.58689999798662,149.80261248185778
1767109882,75,GET,SECURE_STATE,258.250000,257.000000,5,7,9,10,14,18,27,35,52,59,59,2776,2763,5,7.0050343659686645,0.9191999997710809,59.37959999937448,148.91606628242076
1767109882,75,,Aggregated,612.000000,608.250000,5,7,9,10,14,19,28,35,59,73,73,6596,6559,5,7.184885930856896,0.9191999997710809,320.04890000098385,136.5225894481504
1767109883,75,POST,AUTH_TOKEN,102.444444,102.222222,6,8,10,11,16,23,31,38,62,72,72,1192,1190,5,8.237663590672133,1.0901000023295637,320.04890000098385,69.70469798657719
1767109883,75,GET,SECURE_PING,265.777778,263.444444,5,7,9,10,14,20,27,33,62,73,73,3099,3077,5,7.057897870257759,0.9728000004542992,72.58689999798662,149.57405614714423
1767109883,75,GET,SECURE_STATE,267.333333,266.000000,5,7,9,10,14,19,27,35,52,59,59,3111,3097,5,7.055053101882033,0.9191999997710809,59.37959999937448,149.23947283831566
