Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767023193,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767023194,5,,Aggregated,0.000000,0.000000,6,7,20,20,21,25,25,25,25,25,25,17,0,6,10.373241173938903,5.039799987571314,25.295800005551428,167.0
1767023195,10,,Aggregated,0.000000,0.000000,6,6,8,8,17,20,21,25,25,25,25,52,12,6,7.203757690709049,0.8181000011973083,25.295800005551428,173.92307692307693
1767023196,20,,Aggregated,5.000000,0.000000,5,6,6,6,9,17,20,21,25,25,25,102,52,4,4.816147058519681,0.6330000178422779,25.295800005551428,182.2941176470588
1767023197,25,,Aggregated,11.000000,0.000000,1,5,6,6,7,14,20,21,25,25,25,173,113,1,3.6591589595514185,0.6330000178422779,25.295800005551428,186.59537572254337
1767023198,30,,Aggregated,19.666667,6.000000,1,2,5,6,7,8,17,20,25,25,25,264,193,1,3.181061363813404,0.6330000178422779,25.295800005551428,188.9318181818182
1767023199,35,,Aggregated,27.750000,15.000000,1,2,5,6,6,8,15,20,25,25,25,373,292,1,2.913215549833743,0.6330000178422779,25.295800005551428,190.48525469168902
1767023200,40,,Aggregated,36.200000,24.000000,1,2,2,5,6,7,14,20,25,25,25,483,392,1,2.692006418650669,0.6330000178422779,25.295800005551428,191.34782608695653
1767023201,45,,Aggregated,45.833333,34.000000,1,2,2,4,6,7,9,16,25,25,25,619,518,1,2.467463004947467,0.6021999870426953,25.295800005551428,192.10500807754443
1767023202,50,,Aggregated,54.142857,42.571429,1,2,2,3,6,7,8,15,25,25,25,758,647,1,2.3197807390199814,0.6021999870426953,25.295800005551428,192.60686015831135
1767023203,50,,Aggregated,61.250000,49.875000,1,2,2,2,6,7,8,14,25,25,25,929,808,1,2.220575673002158,0.6021999870426953,25.295800005551428,193.09257265877287
1767023205,50,,Aggregated,69.888889,58.666667,1,1,2,2,6,6,8,13,21,25,25,1097,966,1,2.1050860530674735,0.6021999870426953,25.295800005551428,193.41750227894258
1767023206,50,,Aggregated,76.500000,65.400000,1,1,2,2,6,6,7,9,21,25,25,1261,1120,1,2.023482394790052,0.6021999870426953,25.295800005551428,193.64551942902457
1767023207,50,,Aggregated,107.500000,96.600000,1,1,2,2,6,6,7,8,21,25,25,1421,1270,1,1.9667790286743687,0.6021999870426953,25.295800005551428,193.81210415200562
1767023208,50,,Aggregated,120.200000,110.200000,1,1,2,2,6,6,7,12,21,25,25,1589,1428,1,1.9430324100311072,0.6021999870426953,25.295800005551428,193.96035242290748
1767023209,50,,Aggregated,130.600000,120.600000,1,1,2,2,5,6,7,9,21,25,25,1753,1582,1,1.8968942950667491,0.6021999870426953,25.295800005551428,194.07358813462636
1767023210,50,,Aggregated,140.400000,130.400000,1,1,2,2,5,6,7,8,21,25,25,1909,1728,1,1.859590727699903,0.6021999870426953,25.295800005551428,194.1555788370875
1767023211,50,,Aggregated,147.500000,137.500000,1,1,2,2,5,6,7,9,20,25,25,2082,1890,1,1.8556141685246017,0.5905999860260636,25.295800005551428,194.23342939481267
1767023212,50,,Aggregated,152.700000,142.700000,1,1,2,2,5,6,7,9,20,25,25,2245,2043,1,1.8320140306721702,0.5905999860260636,25.295800005551428,194.30066815144767
1767023213,50,,Aggregated,158.400000,148.400000,1,1,2,2,5,6,7,8,20,25,25,2412,2200,1,1.8079418321208647,0.5905999860260636,25.295800005551428,194.36318407960198
1767023214,50,,Aggregated,160.900000,150.900000,1,1,2,2,5,6,7,8,20,25,25,2569,2347,1,1.8024565197272555,0.5905999860260636,25.295800005551428,194.4075515764889
1767023215,50,,Aggregated,163.600000,153.600000,1,1,2,2,4,6,7,8,20,25,25,2736,2504,1,1.7914736107799698,0.5905999860260636,25.295800005551428,194.4561403508772
1767023216,50,,Aggregated,163.100000,153.100000,1,1,2,2,4,6,7,8,20,25,25,2896,2654,1,1.8093798684959785,0.5905999860260636,25.295800005551428,194.49309392265192
1767023217,50,,Aggregated,162.800000,152.800000,1,1,2,2,4,6,7,8,20,25,25,3056,2804,1,1.803013972218998,0.5905999860260636,25.295800005551428,194.5261780104712
1767023218,50,,Aggregated,162.600000,152.600000,1,1,2,2,3,6,7,8,20,25,25,3225,2963,1,1.7882698292883705,0.5905999860260636,25.295800005551428,194.56279069767442
1767023219,50,,Aggregated,162.900000,152.900000,1,1,2,2,3,6,7,8,20,25,25,3387,3115,1,1.7739587538986452,0.5905999860260636,25.295800005551428,194.59078830823736
1767023220,50,,Aggregated,162.300000,152.300000,1,1,2,2,3,6,7,8,20,25,25,3554,3272,1,1.7599338208427144,0.5905999860260636,25.295800005551428,194.6195835678109
1767023221,50,,Aggregated,162.200000,152.200000,1,1,2,2,3,6,7,8,20,25,25,3729,3437,1,1.7447684094955789,0.5843999970238656,25.295800005551428,194.65084473049075
1767023222,50,,Aggregated,163.700000,153.700000,1,1,2,2,3,6,7,8,20,25,25,3888,3586,1,1.7364193670486494,0.5843999970238656,25.295800005551428,194.66975308641975
1767023223,50,,Aggregated,164.000000,154.000000,1,1,2,2,3,6,7,8,20,25,25,4058,3745,1,1.7234972890443732,0.5843999970238656,25.295800005551428,194.68605224248398
1767023224,50,,Aggregated,162.900000,152.900000,1,1,2,2,3,6,7,7,20,25,25,4222,3900,1,1.7185350305257185,0.5843999970238656,25.295800005551428,194.71198484130744
1767023225,50,,Aggregated,162.900000,152.900000,1,1,2,2,3,6,7,7,20,25,25,4379,4046,1,1.7117365834193776,0.5843999970238656,25.295800005551428,194.71865722767754
1767023226,50,,Aggregated,163.900000,153.900000,1,1,2,2,3,6,7,7,20,25,25,4539,4196,1,1.7043230444274242,0.5843999970238656,25.295800005551428,194.73298083278254
1767023227,50,,Aggregated,163.200000,153.200000,1,1,2,2,2,6,7,7,20,25,25,4708,4356,1,1.6965678204292611,0.5843999970238656,25.295800005551428,194.7570093457944
1767023228,50,,Aggregated,163.100000,153.100000,1,1,2,2,2,6,7,7,20,25,25,4867,4504,1,1.6902354425337922,0.5843999970238656,25.295800005551428,194.76248202177933
1767023229,50,,Aggregated,163.300000,153.300000,1,1,2,2,2,6,7,7,20,25,25,5038,4665,1,1.6813461093229078,0.5843999970238656,25.295800005551428,194.77888050813814
1767023230,50,,Aggregated,163.300000,153.300000,1,1,2,2,2,6,7,7,20,25,25,5205,4822,1,1.6863293369639734,0.5843999970238656,25.295800005551428,194.79250720461096
1767023231,50,,Aggregated,163.900000,153.900000,1,1,2,2,2,6,7,7,20,25,25,5368,4975,1,1.6861430139718236,0.5843999970238656,25.295800005551428,194.80365126676602
1767023232,50,,Aggregated,163.300000,153.300000,1,1,2,2,2,6,7,7,20,25,25,5525,5122,1,1.684180542798207,0.5843999970238656,25.295800005551428,194.81176470588235
1767023233,50,,Aggregated,162.400000,152.400000,1,1,2,2,2,6,7,7,20,25,25,5706,5293,1,1.6833200138246676,0.5843999970238656,25.295800005551428,194.8286014721346
1767023234,50,,Aggregated,162.900000,152.900000,1,1,2,2,2,6,7,7,20,25,25,5869,5446,1,1.6832624124937108,0.5843999970238656,25.295800005551428,194.8377917873573
1767023235,50,,Aggregated,163.800000,153.800000,1,1,2,2,2,6,7,7,17,25,25,6040,5607,1,1.6805071686943824,0.5843999970238656,25.295800005551428,194.84933774834437
1767023236,50,,Aggregated,164.800000,154.800000,1,1,2,2,2,6,7,7,17,25,25,6198,5755,1,1.677254017269814,0.5843999970238656,25.295800005551428,194.85575992255568
1767023237,50,,Aggregated,164.100000,154.100000,1,1,2,2,2,6,7,7,17,25,25,6359,5905,1,1.6840966030548017,0.5843999970238656,25.295800005551428,194.85815379776693
1767023238,50,,Aggregated,164.400000,154.400000,1,1,2,2,2,6,7,7,17,25,25,6526,6063,1,1.6811506280605175,0.5843999970238656,25.295800005551428,194.8715905608336
1767023239,50,,Aggregated,164.300000,154.300000,1,1,2,2,2,6,7,7,17,25,25,6686,6212,1,1.6833784921984727,0.5843999970238656,25.295800005551428,194.8731678133413
1767023240,50,,Aggregated,164.200000,154.200000,1,1,2,2,2,6,7,7,17,25,25,6860,6376,1,1.6823162535029332,0.5843999970238656,25.295800005551428,194.88338192419826
1767023241,50,,Aggregated,164.300000,154.300000,1,1,2,2,2,6,7,7,17,25,25,7020,6526,1,1.6789213531231706,0.5843999970238656,25.295800005551428,194.88888888888889
1767023242,50,,Aggregated,163.700000,153.700000,1,1,2,2,2,6,7,7,17,25,25,7187,6683,1,1.6809713369869972,0.5843999970238656,25.295800005551428,194.8962014748852
1767023243,50,,Aggregated,163.900000,153.900000,1,1,2,2,2,6,7,7,17,25,25,7351,6837,1,1.685522391362712,0.5843999970238656,25.295800005551428,194.90232621412054
1767023244,50,,Aggregated,164.700000,154.700000,1,1,2,2,2,6,7,7,17,25,25,7513,6989,1,1.6815308397393474,0.5843999970238656,25.295800005551428,194.90762678024757
1767023245,50,,Aggregated,163.900000,153.900000,1,1,2,2,2,6,7,7,17,25,25,7687,7153,1,1.6781799270211644,0.5843999970238656,25.295800005551428,194.9159620137895
1767023246,50,,Aggregated,162.300000,152.300000,1,1,2,2,2,6,7,7,17,25,25,7850,7306,1,1.6757854775734733,0.5843999970238656,25.295800005551428,194.92101910828026
1767023247,50,,Aggregated,163.400000,153.400000,1,1,2,2,2,6,7,7,17,25,25,8019,7465,1,1.6712893626408416,0.5843999970238656,25.295800005551428,194.9274223718668
1767023248,50,,Aggregated,164.300000,154.300000,1,1,2,2,2,6,7,7,17,25,25,8184,7620,1,1.6664890517023316,0.5843999970238656,25.295800005551428,194.9325513196481
