Method,Name,Error,Occurrences
GET,/api/secure/ping (invalid),"CatchResponseError('Expected 401, got 403')",824
GET,/api/secure/ping (valid),HTTPError('403 Client Error: Forbidden for url: /api/secure/ping (valid)'),99
GET,/api/secure/ping (valid),HTTPError('504 Server Error: Gateway Time-out for url: /api/secure/ping (valid)'),2
POST,/api/auth/token/,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /api/auth/token/'),328
GET,/api/secure/state (valid),HTTPError('403 Client Error: Forbidden for url: /api/secure/state (valid)'),72
GET,/api/secure/ping (invalid),"CatchResponseError('Expected 401, got 504')",6
POST,/api/auth/token/,HTTPError('429 Client Error: Unknown Status for url: /api/auth/token/'),4
GET,/api/secure/state (valid),HTTPError('503 Server Error: Service Temporarily Unavailable for url: /api/secure/state (valid)'),84
GET,/api/secure/state (invalid),"CatchResponseError('Expected 401, got 403')",821
GET,/api/secure/state (invalid),"CatchResponseError('Expected 401, got 503')",896
GET,/api/secure/ping (valid),HTTPError('503 Server Error: Service Temporarily Unavailable for url: /api/secure/ping (valid)'),159
GET,/api/secure/state (invalid),"CatchResponseError('Expected 401, got 504')",12
GET,/api/secure/ping (invalid),"CatchResponseError('Expected 401, got 503')",819
