Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767027187,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767027188,10,,Aggregated,0.000000,0.000000,6,8,8,9,37,40,320,330,330,330,330,69,69,6,19.2420739149911,4.404000006616116,332.2823999915272,68.82608695652173
1767027189,20,,Aggregated,0.000000,0.000000,8,9,11,12,29,37,39,40,330,330,330,218,218,8,13.833253211320438,4.060699982801452,332.2823999915272,68.94495412844037
1767027190,30,,Aggregated,62.000000,62.000000,9,12,15,18,35,46,82,86,330,330,330,422,422,9,16.087093838668203,4.060699982801452,332.2823999915272,68.97156398104265
1767027191,40,,Aggregated,102.500000,102.500000,12,16,19,21,30,48,68,84,330,330,330,707,707,12,17.08834215029949,4.060699982801452,332.2823999915272,68.98302687411598
1767027192,40,,Aggregated,134.666667,134.666667,14,17,20,22,35,51,70,82,330,330,330,980,980,14,18.218199694018374,4.060699982801452,332.2823999915272,68.98775510204082
1767027193,40,,Aggregated,167.500000,167.500000,15,18,22,24,36,49,65,80,320,330,330,1260,1260,15,18.63297269853305,4.060699982801452,332.2823999915272,68.99047619047619
1767027194,40,,Aggregated,190.000000,190.000000,15,19,22,25,36,47,62,78,320,330,330,1540,1540,15,18.835228441684514,4.060699982801452,332.2823999915272,68.9922077922078
1767027195,40,,Aggregated,204.666667,204.666667,15,20,23,26,36,47,64,78,320,330,330,1807,1807,15,19.360206806976176,4.060699982801452,332.2823999915272,68.99335915882679
1767027196,40,,Aggregated,213.857143,213.857143,15,20,23,25,36,46,61,76,89,330,330,2088,2088,15,19.125948611220814,4.060699982801452,332.2823999915272,68.99425287356321
1767027197,40,,Aggregated,220.750000,220.750000,15,20,23,25,35,45,60,73,89,330,330,2363,2363,15,18.930384807512905,4.060699982801452,332.2823999915272,68.99492170969107
1767027198,40,,Aggregated,227.666667,227.666667,16,20,23,25,33,43,57,72,89,330,330,2636,2636,16,18.72299886201072,4.060699982801452,332.2823999915272,68.99544764795144
1767027199,40,,Aggregated,233.300000,233.300000,16,20,23,25,33,45,62,76,96,330,330,2916,2916,16,18.959509259320903,4.060699982801452,332.2823999915272,68.99588477366255
1767027200,40,,Aggregated,254.100000,254.100000,16,20,23,25,35,47,66,78,100,330,330,3185,3185,16,19.262714850938522,4.052699980093166,332.2823999915272,68.99623233908949
1767027201,40,,Aggregated,267.000000,267.000000,16,20,23,25,34,46,64,77,100,330,330,3469,3469,16,19.20209259158595,4.052699980093166,332.2823999915272,68.99654078985299
1767027202,40,,Aggregated,274.800000,274.800000,16,20,23,25,33,45,63,77,100,330,330,3750,3750,16,19.2745790135193,4.052699980093166,332.2823999915272,68.9968
1767027203,40,,Aggregated,275.700000,275.700000,16,20,23,25,32,44,62,76,100,330,330,4016,4016,16,18.974149078860638,4.052699980093166,332.2823999915272,68.99701195219123
1767027204,40,,Aggregated,275.800000,275.800000,16,20,23,25,32,44,63,75,100,330,330,4286,4286,16,19.06192267871611,4.052699980093166,332.2823999915272,68.99720018665423
1767027205,40,,Aggregated,275.600000,275.600000,16,20,23,25,32,43,62,74,100,330,330,4549,4549,16,18.908327105105265,4.052699980093166,332.2823999915272,68.99736205759507
1767027206,40,,Aggregated,275.500000,275.500000,16,20,23,25,32,43,63,73,100,330,330,4832,4832,16,18.97534619231299,4.052699980093166,332.2823999915272,68.99751655629139
1767027207,40,,Aggregated,276.100000,276.100000,16,20,23,26,33,43,63,73,96,330,330,5096,5096,16,19.033367151000053,4.052699980093166,332.2823999915272,68.99764521193093
1767027208,40,,Aggregated,274.100000,274.100000,16,20,23,26,32,42,62,73,96,330,330,5382,5382,16,18.896348792543268,4.052699980093166,332.2823999915272,68.99777034559644
1767027209,40,,Aggregated,273.300000,273.300000,16,20,23,26,32,43,64,76,96,330,330,5668,5668,16,19.03178629168263,4.052699980093166,332.2823999915272,68.99788285109386
1767027210,40,,Aggregated,273.900000,273.900000,16,20,23,26,32,42,63,75,96,330,330,5940,5940,16,19.00653335040824,4.052699980093166,332.2823999915272,68.9979797979798
1767027211,40,,Aggregated,275.300000,275.300000,16,20,23,26,32,42,63,74,92,330,330,6218,6218,16,19.036320794698995,4.052699980093166,332.2823999915272,68.99807011900933
1767027212,40,,Aggregated,274.500000,274.500000,16,20,23,25,32,41,62,74,92,330,330,6490,6490,16,18.955856410101113,4.052699980093166,332.2823999915272,68.99815100154083
1767027213,40,,Aggregated,274.800000,274.800000,16,20,23,25,32,42,62,74,92,330,330,6775,6775,16,19.017464280681775,4.052699980093166,332.2823999915272,68.99822878228782
1767027214,40,,Aggregated,275.300000,275.300000,16,20,23,26,33,43,64,78,100,330,330,7044,7044,16,19.250808276778404,4.052699980093166,332.2823999915272,68.99829642248723
1767027215,40,,Aggregated,275.500000,275.500000,16,20,23,25,32,42,64,77,100,330,330,7318,7318,16,19.087391432300777,4.052699980093166,332.2823999915272,68.99836020770702
1767027216,40,,Aggregated,274.600000,274.600000,16,20,23,26,33,43,67,79,100,330,330,7586,7586,16,19.239056129908427,4.052699980093166,332.2823999915272,68.99841813867651
1767027217,40,,Aggregated,274.300000,274.300000,16,20,23,25,32,42,65,78,100,330,330,7858,7858,16,19.138173759385094,4.052699980093166,332.2823999915272,68.99847289386612
1767027218,40,,Aggregated,275.400000,275.400000,16,20,23,26,33,43,66,78,100,330,330,8128,8128,16,19.23202094011091,4.052699980093166,332.2823999915272,68.99852362204724
1767027219,40,,Aggregated,274.300000,274.300000,16,20,23,25,33,42,64,78,100,330,330,8394,8394,16,19.206137348270218,4.052699980093166,332.2823999915272,68.99857040743389
1767027220,40,,Aggregated,274.100000,274.100000,16,20,23,26,33,43,67,78,100,330,330,8678,8678,16,19.298343996461124,4.052699980093166,332.2823999915272,68.99861719290159
1767027221,40,,Aggregated,273.500000,273.500000,16,20,23,26,33,43,67,78,100,330,330,8958,8958,16,19.27444412831026,4.052699980093166,332.2823999915272,68.99866041527126
1767027222,40,,Aggregated,273.200000,273.200000,16,20,23,26,33,42,66,78,100,330,330,9243,9243,16,19.238046067427412,4.052699980093166,332.2823999915272,68.99870172022071
1767027223,40,,Aggregated,273.300000,273.300000,16,20,23,26,33,43,67,78,100,330,330,9517,9517,16,19.315325407310414,4.052699980093166,332.2823999915272,68.9987390984554
1767027224,40,,Aggregated,273.000000,273.000000,16,20,23,26,32,42,66,78,100,330,330,9790,9790,16,19.19118324833657,4.052699980093166,332.2823999915272,68.99877425944841
1767027225,40,,Aggregated,272.600000,272.600000,16,20,23,26,32,42,66,78,100,320,330,10065,10065,16,19.20789905624074,4.052699980093166,332.2823999915272,68.99880774962742
1767027226,40,,Aggregated,273.500000,273.500000,16,20,23,26,32,41,65,77,100,320,330,10348,10348,16,19.179738674228545,4.052699980093166,332.2823999915272,68.99884035562428
1767027227,40,,Aggregated,273.900000,273.900000,16,20,23,26,32,42,66,78,100,320,330,10629,10629,16,19.27139335790195,4.052699980093166,332.2823999915272,68.9988710132656
1767027228,40,,Aggregated,275.100000,275.100000,16,20,23,26,33,42,66,78,100,320,330,10896,10896,16,19.283891437306107,4.052699980093166,332.2823999915272,68.9988986784141
1767027229,40,,Aggregated,275.800000,275.800000,16,20,23,26,32,42,64,78,100,320,330,11172,11172,16,19.144828481976862,4.052699980093166,332.2823999915272,68.99892588614394
1767027230,40,,Aggregated,276.600000,276.600000,16,20,23,26,32,42,65,77,100,320,330,11450,11450,16,19.201891930170426,4.052699980093166,332.2823999915272,68.9989519650655
1767027231,40,,Aggregated,275.700000,275.700000,16,20,23,26,32,42,64,77,100,320,330,11732,11732,16,19.14662715650999,4.052699980093166,332.2823999915272,68.99897715649506
1767027232,40,,Aggregated,276.100000,276.100000,16,20,23,26,32,42,65,77,100,320,330,11997,11997,16,19.200507143475864,4.052699980093166,332.2823999915272,68.99899974993748
1767027233,40,,Aggregated,277.000000,277.000000,16,20,23,25,32,41,64,76,100,320,330,12277,12277,16,19.168077453797686,4.052699980093166,332.2823999915272,68.99902256251528
1767027234,40,,Aggregated,275.100000,275.100000,16,20,23,26,32,42,65,77,100,320,330,12537,12537,16,19.266033580601015,4.052699980093166,332.2823999915272,68.9990428332137
1767027235,40,,Aggregated,275.200000,275.200000,16,20,23,26,32,42,65,77,100,320,330,12812,12812,16,19.28372327507325,4.052699980093166,332.2823999915272,68.99906337808305
