Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767029893,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767029894,8,,Aggregated,0.000000,0.000000,9,12,18,19,57,62,310,310,310,310,310,47,47,9,27.73428723114503,5.074899992905557,306.6601000027731,132.38297872340425
1767029895,16,,Aggregated,0.000000,0.000000,10,17,25,29,34,55,62,300,310,310,310,140,140,10,19.80413000003734,4.466500016860664,306.6601000027731,134.9
1767029896,24,,Aggregated,25.000000,25.000000,9,12,18,24,31,35,57,62,310,310,310,271,271,9,15.93808413223738,4.129299981286749,306.6601000027731,140.95940959409594
1767029897,32,,Aggregated,49.000000,49.000000,11,17,25,29,41,54,92,99,310,310,310,447,447,11,19.654932661907605,4.129299981286749,306.6601000027731,143.6868008948546
1767029898,48,,Aggregated,71.333333,71.333333,13,17,21,27,40,50,81,96,310,310,310,661,661,13,19.12685189098148,4.129299981286749,306.6601000027731,143.15582450832073
1767029899,56,,Aggregated,88.000000,88.000000,14,21,28,33,44,52,74,91,310,310,310,902,902,14,21.203773724936887,4.129299981286749,306.6601000027731,144.51441241685143
1767029900,64,,Aggregated,109.600000,109.600000,18,26,34,37,45,52,70,84,300,310,310,1181,1181,18,23.382680609566574,4.129299981286749,306.6601000027731,145.0973751058425
1767029901,72,,Aggregated,130.000000,130.000000,20,30,36,41,53,75,100,120,300,310,310,1483,1483,20,27.67935030322317,4.129299981286749,306.6601000027731,145.40795684423466
1767029902,80,,Aggregated,149.000000,149.000000,24,36,44,50,74,92,110,130,300,310,310,1792,1792,24,32.92594553558307,4.129299981286749,306.6601000027731,144.69866071428572
1767029903,80,,Aggregated,163.625000,163.625000,29,44,54,64,92,110,120,130,150,310,310,2114,2114,29,39.53903183527324,4.129299981286749,306.6601000027731,144.58467360454117
1767029904,80,,Aggregated,179.666667,179.666667,35,50,62,76,93,110,130,140,160,310,310,2447,2447,35,43.852192848195976,4.129299981286749,306.6601000027731,144.8680016346547
1767029905,80,,Aggregated,194.600000,194.600000,40,55,71,78,90,110,130,140,160,310,310,2778,2778,40,46.33672159811379,4.129299981286749,306.6601000027731,145.26925845932325
1767029906,80,,Aggregated,226.700000,226.700000,43,59,73,80,94,110,150,160,200,310,310,3101,3101,43,49.57305304723178,4.129299981286749,306.6601000027731,145.9213157046114
1767029907,80,,Aggregated,250.200000,250.200000,46,62,74,80,98,120,150,170,200,310,310,3429,3429,46,51.74178573913248,4.129299981286749,306.6601000027731,146.28813065033538
1767029908,80,,Aggregated,270.600000,270.600000,48,63,75,81,100,140,170,200,230,310,310,3747,3747,48,54.16891000782796,4.129299981286749,306.6601000027731,146.7969041900187
1767029909,80,,Aggregated,289.200000,289.200000,50,66,76,83,110,140,180,200,230,310,310,4056,4056,50,56.255946696025084,4.129299981286749,306.6601000027731,146.60897435897436
1767029910,80,,Aggregated,301.700000,301.700000,51,64,75,81,110,140,180,200,230,310,310,4357,4357,51,56.70266449365545,4.129299981286749,306.6601000027731,146.76704154234565
1767029911,80,,Aggregated,310.700000,310.700000,52,66,76,82,110,140,180,190,230,310,310,4704,4704,52,57.713001785486995,4.129299981286749,306.6601000027731,146.7623299319728
1767029912,80,,Aggregated,316.100000,316.100000,52,65,76,83,110,150,190,200,220,310,310,5027,5027,52,58.31795024840558,4.129299981286749,306.6601000027731,147.00059677740202
1767029913,80,,Aggregated,320.700000,320.700000,53,65,76,83,110,150,180,200,220,310,310,5352,5352,53,58.93299910287294,4.129299981286749,306.6601000027731,147.00635276532137
1767029914,80,,Aggregated,322.000000,322.000000,53,64,76,83,110,150,190,200,220,310,310,5682,5682,53,59.35751341061903,4.129299981286749,306.6601000027731,146.9331221400915
1767029915,80,,Aggregated,320.500000,320.500000,54,66,77,83,120,150,180,190,220,310,310,6002,6002,54,60.481836504440594,4.129299981286749,306.6601000027731,147.01599466844385
1767029916,80,,Aggregated,320.200000,320.200000,54,66,76,82,110,150,180,190,220,310,310,6325,6325,54,60.221071952457905,4.129299981286749,306.6601000027731,147.3005533596838
1767029917,80,,Aggregated,322.100000,322.100000,54,67,77,84,120,150,180,190,220,310,310,6666,6666,54,61.02496990688208,4.129299981286749,306.6601000027731,147.4866486648665
1767029918,80,,Aggregated,322.700000,322.700000,54,66,77,84,120,150,180,190,220,310,310,6997,6997,54,61.01481214802203,4.129299981286749,306.6601000027731,147.37544661997998
1767029919,80,,Aggregated,321.100000,321.100000,54,67,78,85,120,150,180,190,220,310,310,7309,7309,54,61.690959953467576,4.129299981286749,306.6601000027731,147.59994527295115
