Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766823954,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766823955,4,,Aggregated,0.000000,0.000000,11,45,47,51,310,310,310,310,310,310,310,20,4,10,51.07184500002404,8.4006999986741,307.53419999928155,146.3
1766823956,5,,Aggregated,0.000000,0.000000,10,12,18,20,46,58,310,310,310,310,310,52,26,10,26.370649999989837,5.162999999811291,307.53419999928155,127.9423076923077
1766823957,7,,Aggregated,0.000000,0.000000,9,14,19,21,27,47,310,310,310,310,310,99,73,9,19.492684848514866,4.358500000307686,307.53419999928155,107.39393939393939
1766823959,40,,Aggregated,17.333333,8.666667,9,17,21,24,34,44,51,310,310,310,310,153,127,9,18.484447058903708,0.9374000001116656,307.53419999928155,105.66013071895425
1766823960,48,,Aggregated,17.333333,8.666667,9,20,28,33,45,53,59,59,310,310,310,217,191,9,20.320247004642436,0.9374000001116656,307.53419999928155,118.0
1766823961,56,,Aggregated,30.400000,25.200000,10,22,31,36,48,56,59,61,310,310,310,308,282,9,20.521295454586067,0.864499999806867,307.53419999928155,129.3409090909091
1766823962,64,,Aggregated,36.166667,31.833333,10,26,35,41,53,61,74,77,310,310,310,405,379,10,22.22632345684461,0.7611000000906643,307.53419999928155,137.2888888888889
1766823963,68,,Aggregated,43.571429,39.857143,12,30,41,48,61,77,93,96,310,310,310,526,500,12,25.341736882207094,0.7611000000906643,307.53419999928155,143.66349809885932
1766823964,80,,Aggregated,43.571429,39.857143,11,31,45,52,71,87,95,100,310,310,310,627,601,11,26.77014051044119,0.7611000000906643,307.53419999928155,146.92185007974481
1766823965,18,,Aggregated,56.222222,53.333333,12,35,51,60,95,120,160,160,310,310,310,766,740,12,33.627110313375546,0.7611000000906643,307.53419999928155,150.72454308093995
1766823966,18,,Aggregated,62.700000,60.100000,8,31,48,56,93,120,160,160,310,310,310,836,810,8,31.076130980921697,0.7611000000906643,307.53419999928155,150.59928229665073
1766823967,18,,Aggregated,76.100000,73.500000,7,26,45,54,88,120,160,160,310,310,310,902,876,7,29.063752993404385,0.7611000000906643,307.53419999928155,149.8968957871397
1766823968,18,,Aggregated,80.700000,79.700000,7,22,38,51,86,120,150,160,310,310,310,970,944,7,27.264626494901133,0.7611000000906643,307.53419999928155,149.5701030927835
1766823969,18,,Aggregated,84.300000,84.300000,7,19,35,48,82,110,150,160,310,310,310,1039,1013,7,25.673926564060622,0.7611000000906643,307.53419999928155,149.3320500481232
1766823970,18,,Aggregated,86.600000,86.600000,7,13,32,45,77,110,150,160,310,310,310,1109,1083,7,24.25035049598934,0.7611000000906643,307.53419999928155,149.32551848512173
1766823971,18,,Aggregated,87.700000,87.700000,6,10,29,42,74,110,150,160,310,310,310,1179,1153,6,22.976959287574036,0.7611000000906643,307.53419999928155,149.1704834605598
1766823972,18,,Aggregated,88.100000,88.100000,6,9,26,38,72,100,150,160,310,310,310,1232,1206,6,22.127595292241118,0.7611000000906643,307.53419999928155,148.65665584415584
1766823973,18,,Aggregated,86.200000,86.200000,6,8,23,36,70,100,150,160,310,310,310,1290,1264,6,21.28272046514374,0.7611000000906643,307.53419999928155,148.1015503875969
1766823974,18,,Aggregated,82.800000,82.800000,6,8,20,34,68,97,140,160,310,310,310,1342,1316,6,20.595645976184258,0.7611000000906643,307.53419999928155,147.37332339791357
1766823975,18,,Aggregated,77.400000,77.400000,6,7,19,31,65,96,140,160,310,310,310,1402,1376,6,19.858748930120584,0.7611000000906643,307.53419999928155,146.86091298145507
1766823976,18,,Aggregated,70.900000,70.900000,6,7,16,30,63,95,140,160,310,310,310,1460,1434,6,19.195472397286597,0.7611000000906643,307.53419999928155,146.4417808219178
1766823977,18,,Aggregated,63.300000,63.300000,6,7,12,27,60,95,140,160,310,310,310,1519,1493,6,18.5640390388625,0.7611000000906643,307.53419999928155,146.0882159315339
1766823978,18,,Aggregated,62.200000,62.200000,6,7,10,24,59,94,140,160,310,310,310,1578,1552,6,17.97795329532858,0.7611000000906643,307.53419999928155,145.76108998732573
1766823979,18,,Aggregated,61.500000,61.500000,5,7,9,22,57,93,140,160,310,310,310,1642,1616,5,17.385647868474127,0.7611000000906643,307.53419999928155,145.6144945188794
1766823980,18,,Aggregated,60.400000,60.400000,5,7,8,20,56,92,130,160,310,310,310,1703,1677,5,16.8629253082988,0.7611000000906643,307.53419999928155,145.38813857897827
1766823981,18,,Aggregated,60.400000,60.400000,5,7,8,19,54,91,130,160,310,310,310,1764,1738,5,16.375697845821776,0.7611000000906643,307.53419999928155,145.17743764172334
1766823982,18,,Aggregated,59.700000,59.700000,5,7,8,16,53,88,130,160,310,310,310,1820,1794,5,15.963545879135431,0.7611000000906643,307.53419999928155,144.8379120879121
1766823983,18,,Aggregated,58.400000,58.400000,4,7,8,14,52,87,120,160,310,310,310,1875,1849,4,15.581702240013207,0.7611000000906643,307.53419999928155,144.49066666666667
1766823984,18,,Aggregated,58.300000,58.300000,3,7,7,12,51,86,120,150,310,310,310,1930,1904,3,15.222904663228363,0.7611000000906643,307.53419999928155,144.0720207253886
1766823985,18,,Aggregated,58.500000,58.500000,3,7,7,10,50,85,120,150,310,310,310,1987,1961,3,14.875220885772872,0.7611000000906643,307.53419999928155,143.9073980875692
1766823986,18,,Aggregated,57.900000,57.900000,3,6,7,9,49,84,120,150,170,310,310,2033,2007,3,14.609745204149194,0.7611000000906643,307.53419999928155,143.72356123954748
1766823987,18,,Aggregated,58.300000,58.300000,3,6,7,9,48,82,120,150,170,310,310,2064,2038,3,14.452395397305095,0.7611000000906643,307.53419999928155,143.1593992248062
1766823988,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2083,2057,3,14.36778833415051,0.7611000000906643,307.53419999928155,142.29860777724437
1766823989,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823990,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823991,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823992,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823993,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823994,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823995,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823996,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823997,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823998,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766823999,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824000,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824001,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824002,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824003,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824004,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824005,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824006,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824007,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824008,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824009,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824010,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824011,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824012,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824013,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824014,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824015,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824016,18,,Aggregated,57.500000,57.500000,3,6,7,9,48,81,120,150,170,310,310,2087,2061,3,14.35075414472314,0.7611000000906643,307.53419999928155,142.06612362242453
1766824017,18,,Aggregated,0.000000,0.000000,3,6,7,9,48,83,120,160,310,32000,32000,2089,2063,3,45.04419813309532,0.7611000000906643,32126.27109999994,141.9502154140737
1766824018,18,,Aggregated,0.000000,0.000000,3,6,7,9,48,84,120,160,32000,32000,32000,2101,2075,3,75.27041546883926,0.7611000000906643,32126.27109999994,141.2594002855783
1766824019,18,,Aggregated,0.000000,0.000000,5,6,7,9,48,85,130,160,32000,33000,33000,2129,2103,5,134.92539079381265,0.7611000000906643,32512.956000000486,139.67778299671207
1766824020,18,,Aggregated,0.800000,0.800000,5,6,7,9,48,85,130,160,33000,33000,33000,2166,2140,5,162.52064275163056,0.7611000000906643,32520.204399999784,137.6505078485688
1766824021,18,,Aggregated,3.000000,3.000000,5,6,7,8,48,87,140,160,33000,33000,33000,2216,2190,5,231.60057396210806,0.7611000000906643,32520.204399999784,137.2423285198556
1766824022,18,,Aggregated,6.200000,6.200000,5,6,7,8,48,86,140,160,33000,33000,33000,2246,2220,5,228.55313980411205,0.7611000000906643,32520.204399999784,136.86509349955477
1766824023,18,,Aggregated,10.700000,10.700000,5,6,7,8,47,85,140,160,33000,33000,33000,2266,2240,5,226.57496685791324,0.7611000000906643,32520.204399999784,136.30847308031775
1766824024,18,,Aggregated,14.600000,14.600000,5,6,7,8,47,85,140,160,33000,33000,33000,2274,2248,5,225.79943544416616,0.7611000000906643,32520.204399999784,135.9028144239226
1766824025,18,,Aggregated,14.600000,14.600000,5,6,7,8,47,85,140,160,33000,33000,33000,2275,2249,5,225.70290189012445,0.7611000000906643,32520.204399999784,135.8523076923077
1766824026,18,,Aggregated,14.600000,14.600000,5,6,7,8,47,85,140,160,33000,33000,33000,2275,2249,5,225.70290189012445,0.7611000000906643,32520.204399999784,135.8523076923077
1766824027,18,,Aggregated,14.600000,14.600000,5,6,7,8,47,85,140,160,33000,33000,33000,2275,2249,5,225.70290189012445,0.7611000000906643,32520.204399999784,135.8523076923077
1766824028,18,,Aggregated,14.600000,14.600000,5,6,7,8,47,85,140,160,33000,33000,33000,2275,2249,5,225.70290189012445,0.7611000000906643,32520.204399999784,135.8523076923077
1766824029,18,,Aggregated,14.600000,14.600000,5,6,7,8,47,85,140,160,33000,33000,33000,2275,2249,5,225.70290189012445,0.7611000000906643,32520.204399999784,135.8523076923077
1766824030,18,,Aggregated,14.600000,14.600000,5,6,7,8,47,85,140,160,33000,33000,33000,2275,2249,5,225.70290189012445,0.7611000000906643,32520.204399999784,135.8523076923077
1766824031,18,,Aggregated,15.800000,15.800000,5,6,7,8,48,87,140,170,60000,60000,60000,2280,2254,5,304.1883330701901,0.7611000000906643,60057.32429999989,135.79254385964913
1766824032,18,,Aggregated,12.600000,12.600000,5,6,7,8,47,86,140,170,60000,60000,60000,2292,2266,5,302.62758054102665,0.7611000000906643,60057.32429999989,135.1915357766143
1766824033,18,,Aggregated,8.200000,8.200000,5,6,7,8,47,86,140,170,60000,60000,60000,2303,2277,5,301.21027768129795,0.7611000000906643,60057.32429999989,134.64611376465479
1766824034,18,,Aggregated,5.300000,5.300000,5,6,7,8,47,86,140,170,60000,60000,60000,2314,2288,5,299.8044188850609,0.7611000000906643,60057.32429999989,134.10587726879862
1766824035,18,,Aggregated,3.800000,3.800000,5,6,7,8,47,85,140,170,60000,60000,60000,2327,2301,5,298.16419149120276,0.7611000000906643,60057.32429999989,133.47400085947572
1766824036,18,,Aggregated,3.500000,3.500000,5,6,7,8,46,85,140,170,60000,60000,60000,2339,2313,5,296.66405053442736,0.7611000000906643,60057.32429999989,132.8969645147499
1766824037,18,,Aggregated,4.600000,4.600000,5,6,7,8,46,85,140,170,60000,60000,60000,2351,2325,5,295.18059931944873,0.7611000000906643,60057.32429999989,132.32581880051043
1766824038,18,,Aggregated,5.500000,5.500000,5,6,7,8,46,84,140,170,60000,60000,60000,2362,2336,5,293.8391592718141,0.7611000000906643,60057.32429999989,131.807366638442
1766824039,18,,Aggregated,6.800000,6.800000,5,6,7,8,45,84,140,170,60000,60000,60000,2374,2348,5,292.384622577939,0.7611000000906643,60057.32429999989,131.24726200505475
1766824040,18,,Aggregated,8.000000,8.000000,5,6,7,8,45,84,140,170,60000,60000,60000,2386,2360,5,290.94708549875264,0.7611000000906643,60057.32429999989,130.69279128248115
1766824041,18,,Aggregated,9.200000,9.200000,5,6,7,8,45,84,140,170,60000,60000,60000,2398,2372,5,289.52125979984294,0.7611000000906643,60057.32429999989,130.14386989157632
1766824042,18,,Aggregated,10.400000,10.400000,5,6,7,8,45,83,140,170,60000,60000,60000,2410,2384,5,288.1119039419179,0.7611000000906643,60057.32429999989,129.60041493775933
1766824043,18,,Aggregated,11.400000,11.400000,5,6,7,8,45,82,140,170,60000,60000,60000,2422,2396,5,286.7123081750697,0.7611000000906643,60057.32429999989,129.0623451692816
1766824044,18,,Aggregated,11.700000,11.700000,5,6,7,8,45,82,140,170,60000,60000,60000,2434,2408,5,285.33119046837356,0.7611000000906643,60057.32429999989,128.52958093672967
1766824045,18,,Aggregated,11.600000,11.600000,5,6,7,8,44,81,140,170,60000,60000,60000,2446,2420,5,283.9651315617418,0.7611000000906643,60057.32429999989,128.00204415372036
1766824046,18,,Aggregated,11.800000,11.800000,5,6,7,8,44,81,140,170,60000,60000,60000,2459,2433,5,282.5003608784143,0.7611000000906643,60057.32429999989,127.43635624237496
1766824047,18,,Aggregated,11.700000,11.700000,5,6,7,8,44,81,140,170,60000,60000,60000,2468,2442,5,281.4928568071404,0.7611000000906643,60057.32429999989,127.04821717990275
1766824048,18,,Aggregated,12.100000,12.100000,5,6,7,8,44,81,140,170,60000,60000,60000,2480,2454,5,280.1641389113008,0.7611000000906643,60057.32429999989,126.53508064516129
1766824049,18,,Aggregated,12.000000,12.000000,5,6,7,8,43,79,140,170,60000,60000,60000,2493,2467,5,278.73935507421703,0.7611000000906643,60057.32429999989,125.9847573204974
1766824050,18,,Aggregated,11.800000,11.800000,5,6,7,8,43,79,140,160,60000,60000,60000,2504,2478,5,277.54145914537685,0.7611000000906643,60057.32429999989,125.52356230031948
1766824051,18,,Aggregated,11.800000,11.800000,5,6,7,8,42,79,140,160,60000,60000,60000,2512,2486,5,276.67791445064654,0.7611000000906643,60057.32429999989,125.1906847133758
1766824052,18,,Aggregated,11.900000,11.900000,5,6,7,8,42,79,140,160,60000,60000,60000,2519,2493,5,275.9256747518959,0.7611000000906643,60057.32429999989,124.90115125049623
1766824053,18,,Aggregated,11.700000,11.700000,5,6,7,8,42,79,140,170,60000,60000,60000,2531,2505,5,299.94287032794284,0.7611000000906643,60057.32429999989,124.40853417621493
1766824054,18,,Aggregated,11.100000,11.100000,5,6,7,8,43,83,150,32000,60000,60000,60000,2567,2541,5,371.09029809116663,0.7611000000906643,60057.32429999989,122.9583171016751
